OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,BLK,AVG_PTS,CONTEST_SHOT,CHARGES,SCREEN_AST,LOOSE_BALL,BOX_OUT,DAYS,INJ,GP,PTS,H/A,OPP_OFF_RATING,OPP_DEF_RATING,OPP_NET_RATING,OPP_AST_PCT,OPP_AST_TOV,OPP_AST_RATIO,OPP_OREB_PCT,OPP_DREB_PCT,OPP_REB_PCT,OPP_TM_TOV_PCT,OPP_EFG_PCT,OPP_TS_PCT,OPP_PACE,OPP_POSS,OPP_PIE,OPP_FGM,OPP_FG_PCT,OPP_FG3M,OPP_FG3_PCT,OPP_FTM,OPP_FT_PCT,OPP_BLK,OPP_AVG_PTS,OPP_CONTEST_SHOT,OPP_CHARGES,OPP_SCREEN_AST,OPP_LOOSE_BALL,OPP_BOX_OUT,OPP_DAYS,OPP_INJ,OPP_GP,OPP_PTS,OPP_H/A
90.9,103.0,-12.1,0.552,0.94,13.5,0.152,0.804,0.51,17.2,0.459,0.525,99.0,99.0,0.434,29.0,0.397,9.0,0.3,23.0,0.793,3.0,90.0,64.0,0.0,3.0,8.0,16.0,2,0.0,1,109,1,114.7,109.9,4.8,0.417,1.54,15.0,0.306,0.796,0.551,12.7,0.559,0.582,101.5,102.0,0.544,48.0,0.511,9.0,0.5,12.0,0.8,6.0,117.0,63.0,0.0,16.0,5.0,17.0,2,-13.1,1,91,0
114.7,109.9,4.8,0.417,1.54,15.0,0.306,0.796,0.551,12.7,0.559,0.582,101.5,102.0,0.544,48.0,0.511,9.0,0.5,12.0,0.8,6.0,117.0,63.0,0.0,16.0,5.0,17.0,2,-13.1,1,91,0,90.9,103.0,-12.1,0.552,0.94,13.5,0.152,0.804,0.51,17.2,0.459,0.525,99.0,99.0,0.434,29.0,0.397,9.0,0.3,23.0,0.793,3.0,90.0,64.0,0.0,3.0,8.0,16.0,2,0.0,1,109,1
122.8,76.0,46.8,0.5,1.22,15.5,0.468,0.742,0.624,17.8,0.567,0.606,100.5,101.0,0.836,44.0,0.489,14.0,0.583,22.0,0.786,7.0,124.0,67.0,0.0,7.0,5.0,33.0,2,-3.8,1,114,0,119.7,113.9,5.7,0.547,2.07,18.2,0.37,0.686,0.524,12.0,0.564,0.603,116.0,117.0,0.563,53.0,0.52,9.0,0.265,25.0,0.781,9.0,140.0,72.0,0.0,11.0,5.0,22.0,2,2.2,1,96,1
119.7,113.9,5.7,0.547,2.07,18.2,0.37,0.686,0.524,12.0,0.564,0.603,116.0,117.0,0.563,53.0,0.52,9.0,0.265,25.0,0.781,9.0,140.0,72.0,0.0,11.0,5.0,22.0,2,2.2,1,96,1,122.8,76.0,46.8,0.5,1.22,15.5,0.468,0.742,0.624,17.8,0.567,0.606,100.5,101.0,0.836,44.0,0.489,14.0,0.583,22.0,0.786,7.0,124.0,67.0,0.0,7.0,5.0,33.0,2,-3.8,1,114,0
108.5,112.1,-3.7,0.581,1.47,17.4,0.269,0.672,0.482,16.0,0.543,0.567,106.5,106.0,0.466,43.0,0.462,15.0,0.429,14.0,0.737,6.0,115.0,52.0,0.0,6.0,8.0,34.0,2,-0.9,1,92,1,99.5,106.05,-6.55,0.6285000000000001,1.7650000000000001,17.200000000000003,0.2625,0.798,0.4955,13.5,0.472,0.4995,99.5,100.0,0.46299999999999997,37.5,0.419,9.5,0.3215,15.0,0.642,3.0,99.5,57.0,2.0,8.5,11.0,33.5,2,6.4,2,102,0
99.5,106.05,-6.55,0.6285000000000001,1.7650000000000001,17.200000000000003,0.2625,0.798,0.4955,13.5,0.472,0.4995,99.5,100.0,0.46299999999999997,37.5,0.419,9.5,0.3215,15.0,0.642,3.0,99.5,57.0,2.0,8.5,11.0,33.5,2,6.4,2,102,0,108.5,112.1,-3.7,0.581,1.47,17.4,0.269,0.672,0.482,16.0,0.543,0.567,106.5,106.0,0.466,43.0,0.462,15.0,0.429,14.0,0.737,6.0,115.0,52.0,0.0,6.0,8.0,34.0,2,-0.9,1,92,1
112.1,108.5,3.7,0.5,2.1,14.5,0.328,0.731,0.518,9.3,0.464,0.528,106.5,107.0,0.534,42.0,0.433,6.0,0.273,30.0,0.789,10.0,120.0,55.0,2.0,17.0,9.0,20.0,2,24.3,1,115,1,103.0,90.9,12.1,0.585,2.67,17.9,0.196,0.848,0.49,9.1,0.474,0.504,99.0,99.0,0.566,41.0,0.427,9.0,0.346,11.0,0.917,3.0,102.0,42.0,0.0,11.0,8.0,15.0,2,2.5999999999999996,1,111,0
103.0,90.9,12.1,0.585,2.67,17.9,0.196,0.848,0.49,9.1,0.474,0.504,99.0,99.0,0.566,41.0,0.427,9.0,0.346,11.0,0.917,3.0,102.0,42.0,0.0,11.0,8.0,15.0,2,2.5999999999999996,1,111,0,112.1,108.5,3.7,0.5,2.1,14.5,0.328,0.731,0.518,9.3,0.464,0.528,106.5,107.0,0.534,42.0,0.433,6.0,0.273,30.0,0.789,10.0,120.0,55.0,2.0,17.0,9.0,20.0,2,24.3,1,115,1
108.0,99.0,9.0,0.5,1.27,15.4,0.175,0.707,0.49,15.0,0.546,0.605,100.5,100.0,0.583,38.0,0.5,7.0,0.333,25.0,0.833,4.0,108.0,73.0,1.0,10.0,3.0,28.0,2,-14.4,1,97,1,104.1,100.0,4.1,0.5,1.12,14.6,0.229,0.768,0.519,17.3,0.488,0.543,98.5,98.0,0.491,38.0,0.458,5.0,0.227,21.0,0.84,4.0,102.0,54.0,1.0,5.0,1.0,32.0,3,-7.0,1,116,0
104.1,100.0,4.1,0.5,1.12,14.6,0.229,0.768,0.519,17.3,0.488,0.543,98.5,98.0,0.491,38.0,0.458,5.0,0.227,21.0,0.84,4.0,102.0,54.0,1.0,5.0,1.0,32.0,3,-7.0,1,116,0,108.0,99.0,9.0,0.5,1.27,15.4,0.175,0.707,0.49,15.0,0.546,0.605,100.5,100.0,0.583,38.0,0.5,7.0,0.333,25.0,0.833,4.0,108.0,73.0,1.0,10.0,3.0,28.0,2,-14.4,1,97,1
